Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127C, Sample, n/a, SF1g_F3	Abundances Count: F8: 127C, Sample, n/a, SF1g_F3	Modifications
Q7KTN9	FI01009p	3.11	2	2	0	15184.77	2	
Q7KTP7	LP22840p	45.86	7	12	7	444429.88415000006	12	
Q7KTW5	Inositol-1-monophosphatase	58.63	20	90	20	6321735.15717	83	
Q7KUA4	SUMO-activating enzyme subunit	23.0	15	33	15	894231.3766999999	31	
Q7KUB3	Ecdysone-inducible gene E1, isoform A	0.68	1	1	1	2658.597	1	
Q7KUC2	Pyridoxal kinase	26.64	9	22	8	950050.28375	20	
Q7KUD4	phospholipase A2	6.43	6	7	0	43990.8451	6	
Q7KUK9	Uncharacterized protein, isoform B	8.51	13	14	7	180153.77631	14	
Q7KUL1	Dally-like, isoform C	2.23	2	2	0	4410.3827	2	
Q7KUT5	Protein MIX23	26.89	3	3	0	50957.54528	3	
Q7KUU5	Sulfhydryl oxidase	19.16	5	6	0	189113.7685	6	
Q7KUW2	5' nucleotidase B, isoform B	8.17	5	6	0	51389.058300000004	6	
Q7KUX7	Eukaryotic translation initiation factor 4H	47.21	15	38	0	443232.4902	32	
Q7KV27	alanine transaminase	54.93	32	121	0	18184885.59789	115	
Q7KV34	Pinkman	57.32	33	64	33	4562991.80789	62	
Q7KV94	Purine nucleoside phosphorylase	12.18	4	4	0	50989.501000000004	4	
Q7KVI9	Uncharacterized protein, isoform B	22.45	5	18	2	547892.28835	16	
Q7KVL7	Vacuolar protein sorting-associated protein 35	4.73	4	4	0	55805.3908	4	
Q7KVX1	Pyruvate dehydrogenase E1 component subunit alpha	44.47	21	93	0	19354849.8796	83	
Q7KY04	small monomeric GTPase	23.47	5	14	4	14832.497000000001	2	
Q7PL91	GEO11417p1	30.85	5	12	5	1003667.0608699999	11	
Q7PLE9	Ras-related protein Rab-21	18.02	4	4	0	5286.8442	3	
Q7PLI0	P120 catenin	17.03	14	17	14	400845.19996999996	15	
Q7PLL3	Eukaryotic initiation factor 4B	28.98	15	27	3	670402.3016	26	
Q7PLS1	LD01937p	14.61	5	6	0	161326.24599999998	4	
Q7PLT4	Translocase of the inner mitochondrial membrane 17b, isoform A	19.65	3	5	3	54577.387500000004	4	
Q7YU88	SD08871p	4.1	3	3	0	2197.8625	1	
Q86B44	Glutathione synthetase	19.4	8	9	0	113633.74879999999	8	
Q86B74	WASp, isoform C	10.53	4	4	0	50080.6231	4	
Q86B93	Uncharacterized protein, isoform D	14.02	2	2	0	24109.8694	2	
Q86BG8	Terminal ADP-ribose protein glycohydrolase 2, isoform C	4.06	1	1	0	10176.905	1	
Q86BI3	Zinc-finger protein at 72D, isoform B	16.06	12	16	3	536612.7044	16	
Q86BM0	Uncharacterized protein, isoform A	30.62	8	17	8	250330.3289	14	
Q86BM5	A kinase anchor protein 200, isoform D	16.49	13	29	1	956218.39697	26	
Q86BP1	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	40.41	14	27	0	1434145.1148	22	
Q86BQ4	Histidine triad nucleotide binding protein 1, isoform B	70.63	7	23	0	2014544.0585	21	
Q86BR8	Mitochondrial transcription factor A, isoform B	38.73	13	38	0	1107554.11295	36	
Q86BS3	Chromator, isoform A	35.53	26	44	26	962585.47385	39	
Q86BS7	Glycogen debranching enzyme	2.2	4	4	0	10940.672999999999	3	
Q86PD3	Persulfide dioxygenase ETHE1, mitochondrial	48.03	13	25	13	999739.5296	25	
Q86PF5	PRKCA-binding protein	6.16	4	4	0	73027.122	4	
Q8I077	BcDNA.LD22910	1.76	2	2	2	10516.592499999999	2	
Q8I099	Uncharacterized protein, isoform A	21.75	7	10	7	208761.8933	7	
Q8I0D4	RE20510p	21.32	17	37	0	2945080.0895000002	35	
Q8I0J3	Mitochondrial ribosomal protein S21, isoform A	44.83	4	5	4	47593.0454	5	
Q8I0P9	acid phosphatase	9.67	4	4	0	117198.9742	3	
Q8I725	Glyoxylate reductase/hydroxypyruvate reductase	29.97	11	23	11	1843970.3861	23	
Q8I930	GH14147p	3.57	3	4	0	20132.316	3	
Q8I941	GH16843p	32.88	8	25	8	943107.32393	24	
Q8IG84	SD21996p	13.42	14	125	0	470.92188	1	
Q8IGI1	Misexpression suppressor of KSR 2, isoform J	22.86	9	15	1	33950.652	2	
Q8IGY1	RE08101p	33.19	42	295	0	30796624.99627	159	
Q8IH23	GEO02102p1	67.41	6	14	6	1507385.9481000002	14	
Q8IM93	FI18814p1	35.27	16	37	16	1432937.14426	30	
Q8IMF4	RE24176p	6.68	3	3	0	20233.255400000002	3	
Q8IMJ0	VhaAC45-related protein, isoform A	33.07	13	38	1	1225025.37027	34	
Q8IMK7	Alphabet, isoform B	7.28	3	4	0	28281.92	3	
Q8IMQ8	RH29536p	46.4	14	49	0	6191867.01912	46	
Q8IMT3	IP12392p	10.71	4	5	4	88463.917	4	
Q8IMT6	FI01822p	10.66	5	6	5	134339.053	6	
Q8IMU2	RE10237p	19.18	4	5	0	135370.759	5	
Q8IMV6	Scaffold attachment factor B, isoform B	5.82	4	4	3	36091.4832	4	
Q8IMX4	FI04408p	10.85	4	6	0	76097.6158	6	
Q8IMX8	U6 snRNA-associated Sm-like protein LSm3	40.78	4	13	4	311052.02683	10	
Q8IN49	MIP05539p	11.03	10	11	10	215843.93457	9	
Q8IN51	FI17609p1	37.59	7	14	7	482352.18854	14	
Q8IN95	Nuclear migration protein nudC	8.17	3	3	3	62979.802	2	
Q8INA9	Fasciclin 1, isoform C	50.08	31	171	2	118787.8163	4	
Q8ING0	Peptidase S1 domain-containing protein	11.35	5	5	5	36102.65836	4	
Q8INH5	Aminopeptidase	7.53	7	11	0	184181.49099999998	11	
Q8INQ9	LIM domain-containing protein	7.47	3	3	0	38149.091	3	
Q8INU6	Glyoxylate reductase/hydroxypyruvate reductase	12.23	4	13	2	40881.178	2	
Q8IP52	RE16941p	0.86	1	1	1	6685.663	1	
Q8IP62	Small ribosomal subunit protein mS23	41.27	6	7	6	245417.5504	7	
Q8IP80	ethanolamine-phosphate cytidylyltransferase	38.58	15	20	1	946111.02	17	
Q8IP94	threonine--tRNA ligase	7.54	6	6	0	37165.2039	5	
Q8IP97	Peroxin-19	35.62	9	32	9	2923052.5054	28	
Q8IPA5	RE15581p	10.0	3	3	0	83802.976	3	
Q8IPB1	Deoxyuridine 5'-triphosphate nucleotidohydrolase	21.84	4	4	0	27224.176399999997	3	
Q8IPD8	Cuticular protein 30F	60.96	7	14	7	1300664.3758999999	14	
Q8IPE8	Trifunctional enzyme subunit alpha, mitochondrial	61.69	39	102	1	10408138.6663	99	
Q8IPG8	Uncharacterized protein	14.21	3	8	3	86861.8577	8	
Q8IPH0	protein-glutamine gamma-glutamyltransferase	1.95	2	2	0	15388.206	1	
Q8IPK0	Stathmin, isoform B	11.59	3	3	0	19280.675000000003	2	
Q8IPP8	Ketoreductase domain-containing protein	49.61	11	26	9	856341.8035	18	
Q8IPQ6	Polymerase (DNA-directed), delta interacting protein 2, isoform B	13.69	4	5	0	55393.7733	4	
Q8IPT0	ER membrane protein complex subunit 10	14.54	3	7	0	154652.54750000002	6	
Q8IPT6	small monomeric GTPase	10.24	4	13	0	760.2945	1	
Q8IPT9	SD05439p1	39.06	11	32	0	1277841.02632	27	
Q8IPU3	hydroxyacylglutathione hydrolase	31.32	9	53	0	3376108.11544	48	
Q8IPU7	BNIP3, isoform C	16.95	3	3	0	12028.6157	2	
Q8IPW1	Arouser, isoform A	5.47	4	4	0	25668.2477	4	
Q8IPZ5	Uncharacterized protein, isoform B	12.42	6	7	0	51759.5837	7	
Q8IQ99	PAR-domain protein 1, isoform J	1.42	1	1	0	6360.995	1	
Q8IQB7	MIP21654p	9.44	3	3	3	139342.7548	3	
Q8IQB8	Tequila, isoform D	6.07	9	12	0	226414.6675	12	
Q8IQC6	Small VCP interacting protein, isoform A	24.39	4	6	4	91344.753	5	
Q8IQD3	Uncharacterized protein, isoform C	2.95	2	3	2	84542.394	3	
Q8IQD7	Phospholipid scramblase	6.44	1	1	0	24460.697	1	
Q8IQE6	Insulin receptor substrate 53 kDa, isoform A	9.29	10	11	1	138001.7032	9	
Q8IQH0	FI12817p	4.98	8	9	1	118917.3413	8	
Q8IQM5	Uncharacterized protein, isoform A	12.62	4	9	1	215600.509	9	
Q8IQQ0	2-oxoglutarate dehydrogenase, mitochondrial	22.03	20	26	1	289279.46786000003	23	
Q8IQT0	Gamma-glutamylcyclotransferase	12.31	3	3	0	16530.1735	2	
Q8IQU1	LD36620p	19.62	9	13	1	102313.38799999999	2	
Q8IQV4	Lysosome-associated membrane glycoprotein 2-like luminal domain-containing protein	5.76	1	2	1	43331.64	2	
Q8IQW5	RE23625p	70.83	13	77	3	7424934.05449	66	
Q8IQX3	Uncharacterized protein, isoform A	50.54	5	6	5	47458.9684	5	
Q8IR41	Uncharacterized protein, isoform C	3.51	3	3	0	37710.17506	3	
Q8IR72	FI19011p1	10.06	1	1	1	11677.513	1	
Q8IR76	FAD synthase	16.33	4	4	0	40051.0012	4	
Q8IRD0	RH17559p	42.86	3	8	3	455795.1054	8	
Q8IRD3	Glutathione peroxidase	49.58	11	72	0	19574999.3616	70	
Q8IRH0	Puromycin-sensitive aminopeptidase	13.58	16	21	0	510169.61371999996	20	
Q8IRI5	Trio, isoform D	15.92	12	15	2	152577.82376	13	
Q8IRQ5	fumarate hydratase	74.52	29	154	0	20676012.42534	129	
Q8MKK1	AaRS-interacting multifunctional protein 3	10.61	2	3	2	47264.191	2	
Q8MLP9	GEO08457p1	33.04	4	5	4	61853.47583	5	
Q8MLQ0	FI14118p	11.84	1	1	1	3848.6453	1	
Q8MLS1	5-formyltetrahydrofolate cyclo-ligase	23.88	6	13	6	878563.2615	12	
Q8MLS2	ribose-5-phosphate isomerase	36.1	8	16	8	572502.1144000001	16	
Q8MLW0	Receptor protein-tyrosine kinase	2.69	3	3	2	32072.4558	3	
Q8MLW4	Uncharacterized protein, isoform A	34.53	9	14	9	695064.6172	14	
Q8MMD2	Epidermal growth factor receptor pathway substrate clone 15, isoform B	35.23	38	108	0	5749819.4014800005	96	
Q8MQP2	MIP16184p	2.67	1	1	0	49011.89	1	
Q8MRI4	Diphthine--ammonia ligase	2.22	2	2	2	11656.6491	2	
Q8MRM0	GH16740p	27.0	6	9	6	882493.9016999999	8	
Q8MRS5	AT03104p	0.71	1	1	0	5296.0186	1	
Q8MRT7	SD26038p	13.79	3	4	3	72174.226	4	
Q8MRW1	SD19278p	14.08	2	4	2	183522.0865	4	
Q8MS69	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	17.12	5	6	5	9298.2906	5	
Q8MSB1	E3 ubiquitin-protein transferase MAEA	2.54	1	1	1	8006.415	1	
Q8MSI2	GH15296p	85.19	22	138	22	27211930.13869	121	
Q8MSS7	Small ribosomal subunit protein uS2m	13.26	3	6	3	49248.4673	6	
Q8MST5	Tubulin beta chain	40.7	17	120	0	1491915.6952	28	
Q8MT58	Carnosine dipeptidase 2, isoform A	52.09	23	74	5	6610664.7629	69	
Q8MZ07	GEO07581p1	6.16	1	1	1	46469.965	1	
Q8MZI3	RNA helicase	14.91	11	20	5	471326.8185	10	
Q8SWS2	RE29468p	77.51	8	32	0	1002683.025	26	
Q8SWS3	RE26528p	17.13	2	6	2	161666.45446	5	
Q8SWZ6	RH51312p	15.35	3	7	3	30540.681	5	
Q8SX06	GEO08318p1	15.43	2	2	2	6742.8529	2	
Q8SX32	type I protein arginine methyltransferase	3.52	1	1	1	9711.455	1	
Q8SX35	GEO07743p1	55.78	5	9	1	164013.09855999998	8	
Q8SX50	RE04530p	17.6	6	7	0	96400.6088	7	
Q8SX54	CLIP domain-containing serine protease	8.06	3	4	3	11404.0273	2	
Q8SX57	LD44221p	38.91	7	17	7	396819.8024	17	
Q8SX78	LD05679p	21.72	9	9	9	146120.1115	9	
Q8SX89	Kugelkern, isoform A	15.26	6	6	6	68343.459	6	
Q8SXC2	FI04487p	9.56	5	5	5	42948.45033	5	
Q8SXD5	GH02216p	57.69	13	41	2	4151626.12512	39	
Q8SXE1	RH69521p	4.68	2	2	2	35172.0327	2	
Q8SXF0	Small ribosomal subunit protein uS9m	17.72	8	8	7	102779.156	6	
Q8SXF2	RH40246p	8.18	4	4	4	75579.678	4	
Q8SXG7	tRNA selenocysteine-associated protein 1	5.06	2	2	2	49240.335	2	
Q8SXK0	RE18748p	6.55	2	2	2	30249.584	2	
Q8SXM8	Lysine--tRNA ligase	28.92	17	25	1	683912.37139	22	
Q8SXP8	TAR DNA-binding protein 43	12.24	5	8	2	31838.907	7	
Q8SXQ1	aldehyde dehydrogenase (NAD(+))	25.56	14	20	14	923375.4717999999	19	
Q8SXQ5	Glutaredoxin-related protein 5, mitochondrial	4.4	1	2	1	2479.4111	1	
Q8SXS0	RE40914p	16.23	5	6	5	54900.743	5	
Q8SXX1	Phosphatidylinositol 5-phosphate 4-kinase, isoform A	40.59	16	31	16	2054624.63007	30	
Q8SY13	Beaten path IIIc, isoform A	8.62	4	5	0	23635.6296	4	
Q8SY19	Microsomal glutathione S-transferase 1	14.47	3	8	1	260811.309	7	
Q8SY58	Ketimine reductase mu-crystallin	1.97	1	1	1	3772.4878	1	
Q8SY67	lysozyme	14.47	2	6	2	342838.358	6	
Q8SY69	MICOS complex subunit MIC10	25.0	2	7	2	955066.0850000001	7	
Q8SYC4	RE68566p	3.93	2	2	2	69335.888	2	
Q8SYD9	Endophilin B, isoform A	44.87	17	82	0	3794349.02812	68	
Q8SYG3	E2 ubiquitin-conjugating enzyme	53.57	11	27	1	1980746.5623	25	
Q8SYH8	RE57644p	19.05	5	10	0	183340.27254	9	
Q8SYJ2	GEO09626p1	67.47	10	68	10	10878395.9504	65	
Q8SYQ4	RE42475p	69.59	10	50	10	3826390.05476	45	
Q8SYQ8	RE40412p	27.94	4	9	4	104338.72527	9	
Q8SZK5	RH26533p	16.4	3	4	3	142004.39039999997	3	
Q8SZK9	HL04814p	59.31	15	64	15	8648208.38884	61	
Q8SZM2	RH04334p	28.15	9	35	9	5814410.0882	33	
Q8SZN1	GEO08217p1	73.39	10	27	5	1964893.0000999998	27	
Q8T0I9	GH27479p	28.88	11	16	1	477183.6198	14	
Q8T0J5	GH26851p	40.42	12	39	0	5113691.002	39	
Q8T0N5	GH17516p	19.54	8	15	8	699304.4767	15	
Q8T0U6	Serine/threonine-protein phosphatase	12.15	6	10	1	67458.01879999999	5	
Q8T0V2	GH02495p	25.5	11	20	0	376146.24700000003	15	
Q8T389	Endophilin B	43.12	16	71	0	10259.3642	2	
Q8T3V6	Large ribosomal subunit protein uL29m	16.61	5	5	4	38108.3085	5	
Q8T3W8	Venom allergen-1	12.6	4	6	0	66109.3585	5	
Q8T4C4	ATP synthase subunit beta	11.25	5	77	1	5330.173	1	
Q8T4G5	AFG3 like matrix AAA peptidase subunit 2, isoform A	25.42	23	36	2	1513924.34256	31	
Q8T6I0	Achaete scute target 1, isoform B	64.98	32	81	0	4394017.72536	76	
Q8T972	N-terminal E2 ubiquitin-conjugating enzyme	4.55	1	2	0	9123.863299999999	2	
Q8WR19	AFGF intracellular binding protein	2.79	1	1	0	7960.0083	1	
Q94513	Boundary element associated factor	18.79	5	8	1	73971.73210000001	7	
Q94533	Ribosomal protein S6 kinase	6.12	3	3	3	27890.231	2	
Q94883	DNA replication-related element factor, isoform A	4.23	3	3	3	59294.371	3	
Q95NU8	GH16255p	14.82	7	11	7	209489.873	10	
Q95NV8	Allatostatin C, isoform B	28.1	2	4	0	17167.6964	4	
Q95PE4	GEO07784p1	5.56	1	1	1	7082.603	1	
Q95R34	GH16463p	12.62	4	5	4	103226.5505	4	
Q95R98	Protein phosphatase methylesterase 1	7.82	3	6	3	129440.00971999999	5	
Q95RB1	Pre-mRNA-splicing factor RBM22	18.66	8	9	8	71278.86254	8	
Q95RB2	Cuticular protein 49Ae	48.51	7	175	7	32140411.13171	158	
Q95RC5	LD44506p	4.95	3	3	3	19017.885599999998	3	
Q95RE4	LD37574p	51.42	13	23	0	57758.14422	18	
Q95RF6	LD34461p	34.5	4	12	4	313656.08575	11	
Q95RI2	LD28549p	31.37	9	11	9	160020.8781	11	
Q95RI7	Survival of motor neuron-related-splicing factor 30	20.99	5	6	1	77612.9521	5	
Q95RP1	LD18295p	10.71	2	2	2	23181.2992	2	
Q95RQ1	LD16414p	3.32	2	2	2	7248.9637999999995	2	
Q95RR6	LD15002p	64.6	18	79	0	67355.503	2	
Q95RS6	Phenoloxidase-activating factor 2	15.2	5	8	5	308268.4176	8	
Q95RV5	Ribulose-phosphate 3-epimerase	15.38	3	8	3	823252.6606	7	
Q95RY2	LD01461p	45.04	9	18	2	354884.3308	15	
Q95SH0	GH26463p	2.44	2	2	2	7272.3316	2	
Q95SH2	Charged multivesicular body protein 1, isoform A	30.54	8	28	8	674492.5557	23	
Q95SH7	GH26007p	3.49	1	2	1	175051.364	2	
Q95SI7	GH23390p	75.09	18	61	18	4306679.94	56	
Q95SN8	GH12395p	15.49	4	7	4	233981.515	5	
Q95TK5	LD44914p	21.21	9	14	8	285689.5234	12	
Q95TL8	Endoplasmic reticulum protein 44, isoform A	33.5	15	31	0	1852991.65803	30	
Q95TP0	LD34582p	4.51	2	2	2	10820.599	1	
Q95TZ7	GH19182p	85.32	28	147	0	17191738.07338	119	
Q95U15	GH14252p	83.65	34	259	0	5667183.9714	29	
Q95U34	GH11113p	30.82	13	27	13	1714093.5009	26	
Q95WY3	Nucleolar protein 56	16.13	8	9	8	351609.4522	9	
Q960D4	SD06560p	20.91	13	13	0	444958.8808	13	
Q960M4	Peroxiredoxin-5	74.21	13	104	13	22995639.60317	96	
Q960Y8	Aluminum tubes, isoform G	25.74	22	26	0	850406.48934	25	
Q961A8	LD25351p	2.07	1	1	0	5222.145	1	
Q961B3	5'-nucleotidase domain-containing protein 1	5.24	3	3	0	114194.98939999999	3	
Q961B9	LD24073p	3.72	2	2	2	48103.666	2	
Q961C8	LD22649p	9.84	4	4	0	48892.708	4	
Q961E7	phosphorylase kinase	7.88	4	5	0	78183.689	3	
Q961K6	GH19047p	3.18	2	2	2	2591.3157	1	
Q961Q8	GH10454p	8.89	4	5	4	69397.4267	5	
Q961T9	GH07914p	32.94	6	12	6	589016.3653	12	
Q961X4	Combover, isoform B	17.43	11	13	0	62359.502739999996	12	
Q966T5	Paxillin, isoform D	28.93	7	20	4	111711.138	6	
Q967S0	Amidophosphoribosyltransferase	11.33	6	8	0	93894.73672	7	
Q9I7H8	LD37276p	14.29	4	5	4	38865.6094	4	
Q9I7I3	GH12831p	12.97	4	4	4	54860.581699999995	4	
Q9I7J0	GH21596p	72.19	11	40	11	3251862.91121	34	
Q9I7K3	N-acyl-aliphatic-L-amino acid amidohydrolase	3.74	2	2	2	53174.583999999995	2	
Q9I7L9	Uncharacterized protein, isoform A	14.01	5	5	0	83214.4799	5	
Q9I7M3	Uncharacterized protein, isoform A	48.17	12	25	1	1177530.9203	24	
Q9I7Q5	Cuticular protein 65Au, isoform A	65.09	7	25	7	2082322.1276	23	
Q9NCC3	Sorting nexin	15.58	8	10	8	417583.2619	10	
Q9NF31	EG:BACN25G24.3 protein (Fbgn0004860;ph-d protein)	1.47	2	2	0	19411.41196	2	
Q9NG60	Eukaryotic translation initiation factor 2D	4.97	2	2	2	7140.8944	2	
Q9U1K7	Thioredoxin domain-containing protein 17	37.78	6	8	6	471648.3322	8	
Q9U1L2	EG:BACR7A4.14 protein	55.78	12	16	12	163052.92572	14	
Q9U6P7	FI18813p1	10.55	5	7	5	226131.3691	7	
Q9U6R9	Gamma-soluble NSF attachment protein	63.91	22	60	19	2050356.12127	59	
Q9U9Q2	Neosin, isoform A	20.22	7	7	7	116151.9348	7	
Q9V393	Kurtz arrestin	5.32	2	3	2	28023.9722	2	
Q9V396	Carbonic anhydrase	58.15	15	45	15	2649623.8547	42	
Q9V3A8	Ergic53, isoform A	4.88	3	3	3	42322.8506	3	
Q9V3C8	DShc protein	5.62	2	2	2	24159.3165	2	
Q9V3D9	Signal recognition particle 54 kDa protein	21.26	10	16	10	388291.71525999997	16	
Q9V3E3	Large ribosomal subunit protein mL50	19.05	4	5	4	90131.417	5	
Q9V3E7	LD24793p	42.86	14	26	14	534438.77714	24	
Q9V3E9	RNA polymerase II-associated protein 3	9.36	5	6	5	20722.1658	4	
Q9V3F8	Pyrroline-5-carboxylate reductase	25.71	5	14	5	450826.80700000003	14	
Q9V3I0	EG:BACR42I17.2 protein	12.18	3	8	3	357035.3944	8	
Q9V3L7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	48.67	6	10	6	273778.61230000004	9	
Q9V3N7	dihydropyrimidinase	41.6	23	59	4	2532371.2798	55	
Q9V3N9	B6	4.48	3	3	3	116561.958	3	
Q9V3P3	LD45860p	39.18	10	21	10	999683.5794	21	
Q9V3Q4	thioredoxin-dependent peroxiredoxin	12.4	3	4	3	44501.056	4	
Q9V3R3	GPN-loop GTPase	7.59	3	3	3	25755.706299999998	2	
Q9V3T8	LD32469p	18.46	4	6	4	73428.832	4	
Q9V3U6	26-29kD-proteinase	24.77	13	38	13	4314052.25945	36	
Q9V3V2	peptidylprolyl isomerase	62.96	14	54	2	2844882.4611	54	
Q9V3V6	26S proteasome regulatory complex subunit p50	61.92	23	69	22	6134635.59107	63	
Q9V3V9	Endonuclease G inhibitor, isoform A	57.38	16	34	16	1111805.00104	31	
Q9V3W2	GM23292p	66.47	16	60	16	5420295.0789	53	
Q9V3W7	LD40489p	52.16	11	26	11	552065.0197000001	22	
Q9V3W9	UV excision repair protein RAD23	41.3	13	33	5	729488.9835	33	
Q9V3Y4	LD43650p	20.57	5	8	5	184561.5939	7	
Q9V3Y7	Uncharacterized protein, isoform A	60.36	15	32	15	1786341.4349999998	30	
Q9V3Z4	GH11341p	30.28	14	31	14	954663.0533500001	24	
Q9V3Z9	HL02234p	42.6	17	39	17	4261334.8237000005	36	
Q9V400	Integrin linked kinase, isoform A	9.38	5	5	4	28284.87862	5	
Q9V405	26S proteasome regulatory subunit 6B	58.84	29	53	19	2531918.36478	48	
Q9V406	Activator protein 4	13.31	7	11	7	378292.68311	10	
Q9V420	FI02878p	15.83	8	12	8	479817.6823	10	
Q9V428	Ras suppressor protein 1	36.04	9	20	9	759714.22354	16	
Q9V434	Asparagine--tRNA ligase, cytoplasmic	8.78	4	5	4	51564.7097	5	
Q9V436	26S proteasome non-ATPase regulatory subunit 8	31.06	9	19	9	924248.72465	17	
Q9V455	Importin subunit alpha	22.37	11	25	11	1944986.3062	24	
Q9V470	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	45.91	19	44	19	1824639.61506	42	
Q9V491	Plexin A, isoform A	1.44	3	3	0	25012.2125	3	
Q9V4C1	Uncharacterized protein, isoform E	47.85	34	78	0	3044148.9568	71	
Q9V4D9	Purine-rich binding protein-alpha, isoform B	64.73	19	82	0	5574771.6791	69	
Q9V4E0	Complex I-49kD	31.41	12	19	11	670405.55947	19	
Q9V4E7	Transporter	9.12	6	7	3	163623.9549	7	
Q9V7W9	Nuclear inhibitor of protein phosphatase 1	6.01	2	3	2	9651.6099	3	
Q9V9M7	Large ribosomal subunit protein eL21	28.93	6	17	6	1130303.7745	11	
Q9V9Q4	LD43819p	30.23	12	26	12	753731.2395	22	
Q9V9S0	Lysosome-associated membrane glycoprotein 5	17.3	5	8	5	129621.21138000001	8	
Q9V9T5	GM14617p	13.75	10	10	0	74654.2974	9	
Q9V9T9	Beta-glucuronidase	2.92	2	2	2	26013.7084	2	
Q9V9U0	RE35358p	4.79	1	2	1	76795.27	2	
Q9V9U7	Tubulin-specific chaperone A	38.18	5	12	5	576036.7731	12	
Q9V9V0	Cleavage stimulation factor subunit 1	4.25	2	2	2	4288.7163	1	
Q9V9V4	CRAL-TRIO domain-containing protein	33.89	10	21	10	1099722.4355	17	
Q9V9W2	Large ribosomal subunit protein eL6	27.57	9	28	0	2723735.6037999997	24	
Q9V9W4	GH08048p	1.69	1	1	1	2346.3115	1	
Q9V9Y6	Carbonic anhydrase	8.61	3	3	3	29326.443999999996	2	
Q9VA09	Guanylate cyclase soluble subunit beta-1	6.35	6	6	6	251273.11	6	
Q9VA18	Coiled-coil-helix-coiled-coil-helix domain containing 3	78.03	20	85	20	4732195.14963	83	
Q9VA32	Cuticular protein 100A	29.88	7	16	7	431502.5143	13	
Q9VA34	LP06141p	1.88	2	2	2	33048.843	2	
Q9VA36	CIN85 and CD2AP related, isoform C	24.15	19	24	0	378798.52143	21	
Q9VA41	GEO08227p1	52.87	7	18	3	343154.74916	12	
Q9VA42	Niemann-Pick type C-2g, isoform A	49.69	7	27	4	2801452.3863	24	
Q9VA56	GH23271p	63.77	23	81	2	64032.1273	5	
Q9VA69	procollagen-proline 4-dioxygenase	2.73	2	2	2	49046.805	1	
Q9VA71	FI19924p1	4.52	1	2	1	4830.345499999999	2	
Q9VA76	IP18706p	16.43	6	8	6	56117.959	4	
Q9VA81	GEO10172p1	29.29	5	5	5	105054.3532	5	
Q9VA95	Trafficking protein particle complex subunit	17.93	2	3	2	92067.1023	3	
Q9VA97	Pyridoxal phosphate homeostasis protein	35.43	8	13	8	489837.39040000003	13	
Q9VAA6	GEO12235p1	19.62	3	7	3	185537.7283	7	
Q9VAA9	JIL-1 anchoring and stabilizing protein, isoform A	28.21	11	18	11	331216.3285	18	
Q9VAC1	GM14349p	45.49	17	130	17	21917697.256839998	122	
Q9VAC4	GEO09167p1	63.46	7	16	7	1081533.8374	15	
Q9VAC9	Uncharacterized protein, isoform A	30.21	10	13	1	70762.25594	10	
Q9VAD4	Translation initiation factor eIF2B subunit alpha	8.17	3	3	3	9346.4072	2	
Q9VAD7	RH37294p	18.5	3	3	3	14967.3855	3	
Q9VAG3	trypsin	17.0	4	7	4	141131.8674	7	
Q9VAG9	3'(2'),5'-bisphosphate nucleotidase 1	40.85	10	16	10	608035.416	13	
Q9VAI9	GEO07291p1	62.25	8	60	5	5617166.7276	54	
Q9VAJ9	Mitochondrial 2-oxoglutarate/malate carrier protein	33.75	12	15	12	376200.6444	15	
Q9VAL5	protein-tyrosine-phosphatase	0.86	1	1	0	535.9224	1	
Q9VAL7	Calnexin 99A, isoform A	38.51	22	70	1	1956336.81612	64	
Q9VAN7	Phosphoglycerate mutase	62.35	16	134	14	24151681.85343	126	
Q9VAQ4	Peptidase S1 domain-containing protein	12.85	5	6	5	72478.7123	6	
Q9VAS1	Neprilysin-like 19	2.24	2	2	2	11143.47	1	
Q9VAU6	LD27564p	2.99	2	2	2	9433.750769999999	2	
Q9VAV2	FI21480p1	16.52	13	16	13	376484.214	15	
Q9VAY0	Neprilysin 7	5.16	4	4	4	30584.7687	4	
Q9VAY2	Heat shock protein 83	37.87	32	96	31	4675549.17034	75	
Q9VAY6	Pre-mRNA-splicing factor SPF27	17.99	4	5	4	46095.055	3	
Q9VAY9	GH07821p	7.89	3	3	3	45935.728	3	
Q9VB05	ALG-2 interacting protein X	26.2	26	47	26	2351842.4448	45	
Q9VB10	Hydroxysteroid dehydrogenase-like protein 2	48.06	18	46	18	3812806.21739	45	
Q9VB17	IP11341p	7.98	3	3	3	90074.59	1	
Q9VB22	LD33695p	14.29	8	11	8	204206.8963	10	
Q9VB23	Serine/threonine protein phosphatase 2A regulatory subunit	22.33	13	26	1	442023.6267	20	
Q9VB51	GEO08385p1	42.96	3	3	3	36330.5	2	
Q9VB64	Uridine diphosphate glucose pyrophosphatase NUDT14	47.17	9	29	9	682253.5523	23	
Q9VB66	CLIP domain-containing serine protease	6.04	3	4	3	43255.709350000005	4	
Q9VB69	Malic enzyme	20.75	12	16	1	173869.39075	16	
