Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M2	Abundances Count: F5: 127N, Sample, n/a, SFug_M2	Modifications
M9ND57	Large proline-rich protein BAG6	8.86	10	16	0	85221.0376	14	
M9ND89	Nuclear fallout, isoform J	19.96	10	11	0	66874.666	9	
M9ND95	Myosin heavy chain, isoform U	54.28	125	413	1	3441227.06622	352	
M9NDC5	Uncharacterized protein, isoform B	5.05	1	1	0	686.1741	1	
M9NDE0	pantothenate kinase	4.21	2	3	0	10031.6831	3	
M9NDL7	RALBP1 associated Eps domain containing, isoform B	8.31	7	8	0	23794.863	4	
M9NDS9	chitinase	0.67	3	4	0	22530.166400000002	3	
M9NDX8	Neurabin-1	1.98	4	4	0	5841.2927	2	
M9NE05	Neuromusculin, isoform E	2.97	6	11	0	19971.04714	8	
M9NE56	Terribly reduced optic lobes, isoform AK	34.96	114	289	0	96114.69177	10	
M9NEH6	Histone deacetylase 6, isoform F	0.68	1	1	0	4440.624	1	
M9NEW0	LD39232p2	58.67	9	12	9	117414.3395	11	
M9NEX3	Cytochrome b5	57.55	6	27	0	286210.04425	21	
M9NF03	Uncharacterized protein, isoform F	11.63	4	9	0	27159.007700000002	4	
M9NF32	Leucine carboxyl methyltransferase 1	14.37	6	6	0	73733.4978	5	
M9NF47	Uncharacterized protein, isoform J	5.26	10	12	0	74290.13087	9	
M9NFC0	Troponin I	47.24	15	56	5	448727.74184000003	14	
M9NFF0	Uncharacterized protein, isoform H	8.21	2	4	0	23595.317199999998	4	
M9NFH3	Lasp, isoform D	39.01	10	22	1	32509.175130000003	3	
M9NFH8	Glutamate synthase [NADH]	7.33	17	20	0	154086.2236	17	
M9NGY7	Hyperkinetic, isoform I	17.56	5	5	1	2386.449	1	
M9NH07	Upheld, isoform N	45.43	30	106	0	4497059.91516	94	
M9NH46	Mind-meld, isoform E	11.58	12	16	0	108044.4645	13	
M9PAY6	Uncharacterized protein, isoform D	9.92	7	7	0	52848.57267	6	
M9PAZ4	IA-2 protein tyrosine phosphatase, isoform E	18.13	19	33	0	380677.14636	33	
M9PB37	Uncharacterized protein, isoform F	0.46	1	1	0	3316.9631	1	
M9PB89	Uncharacterized protein, isoform B	24.37	2	7	0	25720.650960000003	4	
M9PBA3	Uncharacterized protein, isoform A	8.86	1	1	1	1653.803	1	
M9PBF6	Dynamin associated protein 160, isoform G	47.98	47	143	0	1296140.7149	115	
M9PBM3	Cysteine protease	8.54	3	5	0	4125.26988	4	
M9PBN2	Apolipoprotein D	20.82	3	10	0	141943.3265	8	
M9PBR6	Uncharacterized protein, isoform F	14.22	9	28	0	248654.4461	23	
M9PBT2	Cornetto, isoform E	1.96	2	2	0	1207.56824	2	
M9PBU4	Sorting nexin 21, isoform B	15.31	5	5	0	30714.3227	5	
M9PBU6	Liquid facets, isoform I	20.25	9	18	0	130833.79007	17	
M9PBV2	nucleoside diphosphate phosphatase	20.8	10	20	0	333403.85829	19	
M9PBV5	JNK-interacting protein 3	3.77	4	4	0	8374.9213	4	
M9PBW9	Rhea, isoform G	6.64	17	18	0	94201.57749	18	
M9PBZ2	RNA-binding protein 9, isoform J	11.11	8	19	0	116663.80813	10	
M9PC43	Glycerol-3-phosphate dehydrogenase [NAD(+)]	77.9	27	223	1	8288652.86133	172	
M9PC64	Forkhead box K, isoform P	2.82	3	3	0	23211.0096	2	
M9PC74	Reticulocalbin-3	23.01	10	15	0	175785.4908	13	
M9PC99	Secretory 24CD, isoform C	3.25	3	3	0	2185.68095	2	
M9PCA6	Beta galactosidase, isoform B	2.69	2	2	0	17431.974	2	
M9PCA7	Sodium chloride cotransporter 69, isoform C	1.34	2	2	0	4210.5825	1	
M9PCC4	Sin3A-associated protein 130, isoform G	4.96	5	5	0	7651.0352	3	
M9PCD4	Liprin-alpha, isoform E	6.43	9	9	0	36082.01447	7	
M9PCE5	Hemolectin, isoform B	3.57	13	13	0	45134.283299999996	10	
M9PCI6	Echinoid, isoform C	2.19	3	3	0	22627.853900000002	3	
M9PCT7	Bunched, isoform O	16.15	3	5	1	2063.7317	1	
M9PCU0	FI21215p1	30.84	38	66	1	8872.195	1	
M9PD23	DnaJ homolog, isoform C	17.27	6	11	0	72382.6005	7	
M9PD73	TEP1-F	23.71	32	47	0	638169.09773	44	
M9PD88	Copper transport protein ATOX1	56.18	5	19	0	369605.2554	18	
M9PD94	Crooked legs, isoform F	1.87	2	2	0	11430.3591	2	
M9PDB2	Varicose, isoform E	7.69	5	5	0	16935.10391	5	
M9PDB4	Cytoplasmic linker protein 190, isoform Q	56.27	13	32	3	260985.47474	27	
M9PDC7	Dynamin associated protein 160, isoform H	51.64	45	132	0	4645.8193	1	
M9PDE6	Uncharacterized protein, isoform K	2.51	5	6	0	20374.4864	5	
M9PDJ9	Tetratricopeptide repeat protein 2, isoform C	3.97	2	2	0	18282.548	2	
M9PDL2	Aspartyl-tRNA synthetase, mitochondrial, isoform D	4.48	5	6	0	40702.2284	6	
M9PDU4	Acyl carrier protein	18.23	4	29	2	1651778.5222	27	
M9PDV2	Tetraspanin	12.89	3	3	0	9606.086	2	
M9PDW8	Uncharacterized protein, isoform T	6.7	32	38	0	159420.91802	29	
M9PDX2	Uncharacterized protein, isoform B	18.61	6	12	1	104744.7551	11	
M9PDX8	Nervana 3, isoform E	36.1	10	62	1	3755676.7753399997	58	
M9PE32	Fife, isoform D	12.56	14	19	0	69090.56815	15	
M9PE35	RabX6, isoform B	8.11	2	2	0	4739.6324	2	
M9PE54	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	2.37	1	1	0	708.7417	1	
M9PE74	No circadian temperature entrainment, isoform D	3.47	5	6	0	4593.515	1	
M9PE93	Ensconsin, isoform K	6.31	6	6	0	9249.20466	3	
M9PE96	Uncharacterized protein, isoform B	1.26	2	2	0	7310.91816	2	
M9PEC1	IST1 homolog	21.0	7	10	0	71207.86864	9	
M9PEE1	Smallminded, isoform H	11.33	10	12	0	85723.12058	10	
M9PEG1	Uncharacterized protein	27.38	16	49	16	417698.97202	48	
M9PEI1	Dumpy, isoform U	8.38	147	234	0	1067004.20674	181	
M9PEJ9	Uncharacterized protein, isoform B	12.44	5	8	0	38455.9802	6	
M9PEL3	Quemao, isoform C	23.62	7	9	0	46852.574640000006	7	
M9PEM1	Syntaxin 17, isoform B	14.16	4	5	0	41364.2138	3	
M9PET3	Simjang, isoform D	2.38	2	2	0	487.89774	1	
M9PEZ7	Z band alternatively spliced PDZ-motif protein 67, isoform E	1.1	1	1	0	4888.4307	1	
M9PF08	Uncharacterized protein, isoform D	1.12	1	1	0	2726.4165	1	
M9PF16	Spectrin beta chain	24.44	59	123	3	1110970.70571	104	
M9PF36	Uncharacterized protein, isoform C	25.29	12	29	0	408717.0998	23	
M9PF85	CCR4-NOT transcription complex subunit 9	5.65	2	2	0	12444.314699999999	2	
M9PFF7	Uncharacterized protein, isoform E	14.85	7	7	1	30136.234600000003	7	
M9PFH7	Tartan, isoform B	2.53	2	3	0	3803.2219000000005	2	
M9PFU5	Uncharacterized protein, isoform K	5.73	3	3	0	10489.4859	2	
M9PFV2	Myosin phosphatase targeting subunit 75D, isoform B	3.31	2	2	0	5640.1865	2	
M9PFV4	Uncharacterized protein, isoform B	5.13	2	2	0	17677.183	2	
M9PFV8	Regeneration, isoform B	5.94	4	5	0	3634.09183	3	
M9PFX4	Cuticular protein 76Bd, isoform C	12.67	10	11	0	113662.80859999999	10	
M9PG20	HP1 and insulator partner protein 1, isoform C	9.84	8	9	0	47497.4739	8	
M9PG87	Uncharacterized protein, isoform B	3.24	5	5	0	35840.7742	4	
M9PGA7	Alpha-actinin, sarcomeric	58.67	56	203	1	3922073.45891	176	
M9PGB6	Uncharacterized protein, isoform B	30.46	5	5	0	34908.63153	5	
M9PGD7	Uncharacterized protein, isoform B	7.77	4	4	0	28570.383799999996	4	
M9PGG8	Uncharacterized protein, isoform B	31.32	5	11	4	233157.87011000002	10	
M9PGW8	Bifocal, isoform D	13.51	12	15	0	2907.388	1	
M9PHA0	Bifocal, isoform F	12.03	13	16	2	71473.26276	12	
M9PHI7	Uracil phosphoribosyltransferase homolog	11.88	3	3	0	9779.5532	2	
M9PHI8	Uncharacterized protein, isoform B	13.28	16	21	0	167973.40936	20	
M9PHK8	Discs large 1, isoform R	33.87	31	75	1	182440.26196	19	
M9PHM9	Wurmchen 2, isoform A	35.09	2	2	2	10164.4384	2	
M9PHS8	Uncharacterized protein, isoform C	12.33	7	9	0	40824.981400000004	9	
M9PHX2	Visgun, isoform E	3.82	1	1	1	7156.934	1	
M9PI33	Inositol oxygenase	11.64	2	2	0	17005.405	2	
M9PI97	Misexpression suppressor of ras 6, isoform B	5.58	3	3	0	13208.552	3	
M9PIL1	Juvenile hormone binding protein 6, isoform C	11.11	3	3	0	22131.99345	3	
M9PJJ5	Uncharacterized protein	18.1	5	5	4	123371.93160000001	4	
M9PJM6	Upheld, isoform Q	44.85	29	100	1	11702.6047	2	
M9PJQ5	Troponin I	45.65	14	66	0	109722.06008000001	14	
O15971	LD39986p	30.39	7	26	4	61794.63137	7	
O16158	Calcium-binding protein	48.91	7	30	7	1206073.6545	25	
O17452	LD20793p	27.83	6	17	4	286231.4691	15	
O18332	FI01544p	60.98	11	51	9	853029.73174	43	
O18335	Rab11	57.94	14	57	14	1408018.0505000001	56	
O18336	Ras-related protein Rab-14	39.07	8	16	1	132079.52169999998	13	
O18338	LD44762p	23.19	5	23	0	404.52005	1	
O44226	Elongin-B	97.46	10	30	10	638774.1828	25	
O44434	QKR58E-3	24.92	7	8	5	54625.008	5	
O46048	EG:133E12.4 protein	0.47	1	1	0	574.8102	1	
O46052	EG:152A3.3 protein	12.67	4	5	1	10228.84083	4	
O46067	Hypoxia up-regulated protein 1	32.72	26	48	26	466338.70449	40	
O46085	Peroxisomal targeting signal 1 receptor	1.47	1	1	0	6430.6724	1	
O61444	mitogen-activated protein kinase kinase	17.69	7	9	7	81812.07119999999	7	
O61604	Fimbrin	37.34	25	48	3	996649.54028	46	
O62530	Adaptor protein complex 2, mu subunit, isoform A	13.27	7	8	7	13519.69716	6	
O62602	mitogen-activated protein kinase kinase	12.28	4	4	4	15447.7976	3	
O76521	Importin subunit alpha	5.52	3	5	3	29214.7848	3	
O76752	Sepiapterin reductase	28.74	7	12	7	136657.6185	11	
O76877	EG:132E8.3 protein	20.62	3	4	3	110404.9913	4	
O77134	ATP synthase F(0) complex subunit e, mitochondrial	34.57	6	30	5	1108029.56978	25	
O77259	EG:115C2.5 protein	4.0	1	1	0	10578.192	1	
O77425	Ribokinase	3.29	1	1	1	7142.9277	1	
O77430	GEO01111p1	71.6	13	21	12	380849.0605	18	
O77434	EG:34F3.8 protein	39.34	7	15	1	63655.2381	10	
O77477	LD24471p	28.57	10	11	10	62022.0533	9	
O96299	Sorbitol dehydrogenase	20.83	8	17	2	15258.9	2	
O96692	small monomeric GTPase	21.98	4	7	1	42331.53425	6	
O96824	Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5	29.0	3	4	3	31614.5948	4	
O96880	General transcription factor IIE subunit 1	4.9	2	2	2	3063.47992	2	
O96881	Transcription initiation factor IIE subunit beta	9.25	2	2	1	4365.555	2	
O97059	Ccp84Ab	36.2	6	6	0	103171.1094	5	
O97062	Ccp84Ae	75.96	13	31	13	191143.49747	22	
O97064	Ccp84Ag	37.17	5	9	5	31702.5654	5	
O97066	Signal peptidase complex catalytic subunit SEC11	4.32	1	1	1	16680.004	1	
O97102	Small ubiquitin-related modifier	44.44	5	27	5	919898.1822	24	
O97111	LD29223p	11.97	4	4	4	18731.6509	4	
O97182	Actin-related protein 2/3 complex subunit	2.39	1	1	1	2965.5889	1	
O97183	DNA-directed RNA polymerase II subunit RPB3	14.18	3	3	3	20507.5411	2	
O97365	BM-40	24.01	7	7	7	106816.6504	6	
O97418	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	67.96	7	40	7	659767.62109	34	
O97428	Ciboulot, isoform A	29.46	4	5	1	30211.95086	4	
O97454	Protein BUD31 homolog	19.44	3	3	3	14821.419	1	
O97479	Sorbitol dehydrogenase	26.11	10	22	4	248635.02226	20	
P91939	Cuticle protein LCP65Ad	10.19	1	1	1	771.75757	1	
P91941	Adult cuticle protein 65Aa	60.0	4	89	4	3695049.10147	60	
P92181	Cuticle protein DCP2	37.61	4	8	4	43155.038870000004	7	
Q0E8E2	Phenoloxidase-activating factor 2	2.19	2	2	0	11403.3217	2	
Q0E8E8	Phosphate carrier protein, mitochondrial	44.66	14	49	12	1737734.3464	44	
Q0E8G6	Cleavage and polyadenylation specificity factor subunit 5	16.03	5	8	1	117710.2091	8	
Q0E8H9	beta-N-acetylhexosaminidase	4.5	3	3	0	27097.3399	3	
Q0E8J3	Zormin, isoform I	17.77	62	96	0	704269.72085	80	
Q0E8P1	Uncharacterized protein, isoform B	6.87	1	1	0	2744.844	1	
Q0E8P5	FI05614p	19.04	11	19	11	37582.28217	14	
Q0E8S7	Homer, isoform E	30.13	14	34	1	738525.4854	30	
Q0E8U4	FI09636p	20.0	6	7	6	57359.0527	7	
Q0E8V7	Mitochondrial import inner membrane translocase subunit	78.57	7	19	7	229300.7781	17	
Q0E8X6	Translation initiation factor eIF2B subunit delta	6.6	3	3	0	27112.267200000002	3	
Q0E8X7	Reduction of Rh1, isoform A	50.0	6	42	6	942015.9389	41	
Q0E8X8	ATP synthase F1 subunit epsilon	48.6	7	19	7	545544.0156	18	
Q0E980	Uncharacterized protein, isoform C	29.77	14	23	14	198876.84821	20	
Q0E9B7	DNAation factor-related protein 3, isoform A	9.77	2	3	2	1397.67492	2	
Q0E9E2	Pyruvate carboxylase	32.66	33	58	0	392962.00239	49	
Q0E9F9	Zinc carboxypeptidase A 1	26.71	10	19	10	237924.95648	18	
Q0E9G4	CG1600-PA	3.41	1	3	0	38891.3732	3	
Q0KHQ6	6-phosphofructo-2-kinase, isoform A	21.08	10	15	0	117660.51326	15	
Q0KHR3	Bazooka, isoform B	0.79	1	1	0	1009.00397	1	
Q0KHR7	Septin	15.46	9	14	0	205734.57630000002	13	
Q0KHX7	FI18193p1	6.03	7	7	0	40733.6777	7	
Q0KHZ6	Electron transfer flavoprotein subunit beta	79.05	17	123	17	2511103.39777	104	
Q0KI15	Complex III assembly factor LYRM7	23.36	4	4	4	30076.896	4	
Q0KI25	Uncharacterized protein, isoform B	10.67	11	14	1	64888.0551	13	
Q0KI39	FI16806p1	18.15	3	6	1	10030.68113	4	
Q0KI76	Uncharacterized protein, isoform A	15.47	10	19	0	232733.4328	17	
Q0KI81	protein-tyrosine-phosphatase	6.86	10	11	10	29653.8842	9	
Q0KI98	Tryptophan--tRNA ligase, cytoplasmic	7.91	3	4	3	43166.4626	4	
Q0KIE7	Ankyrin, isoform B	1.23	2	2	2	7053.9209	2	
Q1RL12	IP16413p	54.97	15	74	2	55829.6431	3	
Q24090	GH08712p	7.57	3	3	3	25526.246	3	
Q24253	AP complex subunit beta	20.2	15	23	15	434977.427	21	
Q26459	EN protein binding protein	18.26	9	16	0	94335.89525	13	
Q29QY7	IP15859p	9.86	1	1	0	47106.266	1	
Q2MGK7	GEO13330p1	20.47	3	5	3	46269.476500000004	5	
Q2PDM3	Uncharacterized protein, isoform C	0.44	1	1	1	6113.8433	1	
Q2PDR0	Dolichol-phosphate mannosyltransferase subunit 3	23.4	2	2	2	16110.489000000001	2	
Q3YMU0	Protein disulfide-isomerase (Fragment)	63.19	31	117	31	3490317.9624	103	
Q494G8	F-box and leucine-rich repeat protein 6, isoform A	9.31	5	5	5	18739.718999999997	4	
Q4LDP7	NADH-cytochrome b5 reductase	18.35	7	13	0	166613.51914	9	
Q4QPU3	Synaptic plasticity regulator PANTS	20.51	3	3	3	13418.643100000001	3	
Q4QQ49	IP09595p	2.7	1	1	1	12393.1455	1	
Q4QQ70	IP09819p	18.42	6	7	6	30436.6386	5	
Q4V429	Cytochrome c oxidase assembly factor 5	22.78	2	5	2	10954.0687	3	
Q4V5H1	Peptidyl-prolyl cis-trans isomerase	13.11	2	2	2	7386.577	2	
Q4V619	IP07950p	6.9	2	3	0	15663.0906	3	
Q4V6M1	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	28.87	4	5	4	116486.43190000001	5	
Q500Y7	GEO11443p1	87.72	4	40	4	322367.12605	33	
Q59E14	Neural cell adhesion molecule 2	5.98	3	3	3	23344.27106	3	
Q5BIA9	RE10908p	2.48	1	1	1	1542.5593	1	
Q5LJT3	MIP01391p	10.93	2	5	2	36495.8726	4	
Q5U124	alpha-glucosidase	17.62	10	18	0	163366.8582	17	
Q5U126	GEO11286p1	59.42	7	37	7	1700337.78	36	
Q5U191	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	17.84	7	10	0	112435.04377	10	
Q5U1B0	Beta hydroxy acid dehydrogenase 2	15.87	5	6	5	11651.62773	5	
Q6IDF5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	55.75	8	30	8	343522.1741	28	
Q6IGM9	LYR motif-containing protein 2	21.11	2	2	2	6413.5935	2	
Q6IGN6	HDC05827	42.05	4	5	4	83729.4946	4	
Q6IGW6	GEO13367p1	44.23	2	4	2	29237.5008	3	
Q6IHY5	Cytochrome c oxidase subunit 7A-like 2, isoform A	35.48	2	14	2	680514.9887	14	
Q6IIF2	GEO11103p1	7.14	1	1	1	5288.222	1	
Q6IL43	GEO11093p1	13.25	1	2	1	37922.811	2	
Q6NL44	GH28815p	20.08	8	10	8	42737.3128	9	
Q6NLJ9	AT19138p	38.64	2	2	2	14732.375	2	
Q6NMY2	RH54371p	21.43	5	27	5	826847.5392	22	
Q6NNV2	RE44043p	5.81	2	2	0	76283.107	2	
Q6NNV7	RH03309p	36.84	7	23	1	350809.50593	19	
Q6NP69	GST-containing FLYWCH zinc-finger protein	1.34	1	2	0	22885.924	2	
Q6NP72	GEO09659p1	33.33	4	16	4	401358.3421	15	
Q76NQ0	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	4.8	2	2	2	16019.141	2	
Q76NR6	Regucalcin	83.07	23	133	0	3366555.65441	112	
Q7JMV3	Calcium/calmodulin-dependent protein kinase type 1	22.72	8	15	0	92140.5955	12	
Q7JNE1	Regulatory protein zeste	29.48	9	14	9	113566.33497	13	
Q7JPS2	Igloo, isoform A	48.75	10	29	3	746209.7545	25	
Q7JQH9	carnitine O-palmitoyltransferase	2.18	2	2	0	5478.95713	2	
Q7JQR3	Sulfhydryl oxidase	24.96	15	20	15	247055.35315	18	
Q7JQX9	FI14001p1	4.33	4	4	0	9790.032	2	
Q7JR58	Probable enoyl-CoA hydratase, mitochondrial	59.66	13	107	13	2341721.98826	94	
Q7JR69	Cuticular protein 49Ac, isoform C	25.93	6	8	0	146543.79243	7	
Q7JRC3	Epoxide hydrolase	9.28	4	4	3	8434.6662	2	
Q7JRF1	RE48509p	6.5	2	3	1	5893.23456	3	
Q7JRH5	RE28271p	1.31	1	1	1	5698.0977	1	
Q7JRL9	GH25289p	67.12	10	52	1	1253690.63289	46	
Q7JRN6	GH06388p	6.73	2	2	2	7933.1127	2	
Q7JS69	FI04632p	35.69	10	68	1	471556.87	8	
Q7JUN9	Deoxyribonuclease TATDN1	9.62	3	3	3	7381.845499999999	3	
Q7JUS9	Phosphate carrier protein, mitochondrial	31.82	13	33	11	863334.344	24	
Q7JV09	GH28348p	4.84	5	5	2	8408.40958	4	
Q7JV69	SD11922p	11.76	4	9	4	55494.54859	8	
Q7JVG2	diphosphoinositol-polyphosphate diphosphatase	15.82	2	3	2	5429.81794	3	
Q7JVH6	LD24696p	47.27	12	27	11	198038.71180000002	15	
Q7JVI6	Glutathione S transferase E13, isoform A	14.6	3	9	3	48049.574	8	
Q7JVK6	Translin	24.26	6	8	6	84821.8387	8	
Q7JVK8	GEO08987p1	53.42	7	13	7	397938.2486	13	
Q7JVM1	GH25962p	22.64	5	6	5	30462.2143	4	
Q7JVX3	Zinc carboxypeptidase A 1	18.2	7	8	0	69417.5064	7	
Q7JVZ8	Glutathione S transferase E11, isoform A	23.56	7	8	7	58272.0945	8	
Q7JW03	Ubiquitin-conjugating enzyme E2 H	18.58	4	8	4	32116.941	4	
Q7JW48	RE12410p	5.57	2	2	2	896.3216	1	
Q7JWD6	Elongin-C	46.15	5	17	5	694880.4634	17	
Q7JWF1	Electron transfer flavoprotein-ubiquinone oxidoreductase	18.21	12	28	12	744106.0539	28	
Q7JWH5	RING-box protein 2	27.43	2	3	2	33634.7667	3	
Q7JWQ7	RE01730p	5.34	2	3	2	4331.69887	2	
Q7JWU9	AT07420p	19.68	5	5	5	14518.7937	3	
Q7JWX3	GH10112p	22.48	7	11	7	104789.8356	10	
Q7JX87	1-Cys peroxiredoxin	55.0	11	48	1	60358.6972	5	
Q7JX94	Phospholipase A2	15.61	3	3	3	4221.50207	2	
Q7JXB5	Phosphoenolpyruvate carboxykinase [GTP]	9.56	7	7	1	66298.6069	7	
Q7JXB9	Endonuclease	10.65	3	3	3	28235.4432	3	
Q7JXC4	CG6459 protein	33.46	6	38	6	1022198.6782	37	
Q7JXW8	Off-track2	4.39	2	2	2	6568.147849999999	2	
Q7JXZ2	cystathionine gamma-lyase	19.59	6	8	6	79400.9823	8	
Q7JYH3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	30.59	4	8	4	325732.8067	8	
Q7JYW9	Phosphotransferase	19.38	9	13	9	115733.72297	12	
Q7JYX5	Vesicle-associated membrane protein 7	11.93	3	5	3	24530.537800000002	5	
Q7JYZ0	lysozyme	39.13	4	9	4	113258.62362	9	
Q7JYZ9	Glutathione S transferase E2	31.22	7	19	7	129943.55234	15	
Q7JZB1	RE49860p	2.09	1	1	1	988.14545	1	
Q7JZD3	Eb1, isoform A	56.7	14	33	0	548985.5948	26	
Q7JZD5	Dorsal interacting protein 3	6.32	2	2	2	539.4561	1	
Q7JZE1	Peroxin 11	6.22	2	2	2	18783.4507	2	
Q7JZF5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	8.57	2	3	2	56294.423	3	
Q7JZK1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	47.58	10	37	10	1351993.26497	33	
Q7JZN0	Protein transport protein Sec61 subunit beta	56.0	5	15	5	63470.19183	10	
Q7JZW0	Cuticular protein 51A	62.5	11	31	11	350953.01565	23	
Q7JZW2	40S ribosomal protein S15	61.49	7	18	2	756399.827	17	
Q7K012	Brahma associated protein 55kD	13.18	4	6	4	17670.13654	5	
Q7K076	GEO08269p1	22.14	2	2	0	7953.7446	1	
Q7K084	Odorant-binding protein 44a, isoform A	70.63	13	163	13	6371564.12751	130	
Q7K0A0	Large ribosomal subunit protein mL42	7.26	1	1	1	13427.281	1	
Q7K0B6	Glutathione S transferase T1	57.46	14	37	14	518079.97793	35	
Q7K0E6	Aspartate--tRNA ligase, cytoplasmic	13.37	5	7	5	32087.98825	4	
Q7K0P0	Juvenile hormone-inducible protein 26	4.1	2	3	2	27511.5992	3	
Q7K0S1	LD39211p	1.83	1	1	1	845.04517	1	
Q7K0S5	UBX domain-containing protein 6	34.47	18	25	18	144279.66048	19	
Q7K0S6	LD36817p	19.03	8	9	8	74968.51096	9	
Q7K0W4	LD27203p	46.95	14	45	14	943554.17775	42	
Q7K0X9	LD23667p	23.4	5	12	5	48346.79	11	
Q7K127	Alpha-galactosidase	15.83	7	17	7	115002.09499	14	
Q7K148	Proteasome subunit beta	22.34	6	8	6	74187.98074	7	
Q7K159	LD06557p	22.47	5	6	5	29505.0844	6	
Q7K180	LD02709p	22.5	11	14	11	53493.3173	12	
Q7K188	GEO05126p1	30.97	6	40	6	1302927.8415	36	
Q7K1C0	GH23780p	50.5	6	11	1	71163.4221	9	
Q7K1C3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	17.89	5	5	5	51786.3316	5	
Q7K1C5	GH21176p	9.19	6	7	6	118188.6915	6	
Q7K1H0	GH09096p	20.06	7	8	6	34415.62645	7	
Q7K1M4	SD04017p	16.99	5	12	5	78161.5303	12	
Q7K1S1	Arginine-hydroxylase NDUFAF5, mitochondrial	9.91	4	6	4	103996.9415	5	
Q7K1W5	LD35843p	30.05	12	20	12	356194.4002	20	
Q7K204	17S U2 SnRNP complex component HTATSF1	5.58	2	2	2	11815.14	2	
Q7K221	Aspartate aminotransferase, cytoplasmic	31.01	12	32	1	396961.76948	26	
Q7K2E1	LD05247p	18.9	10	15	10	138451.66580000002	11	
Q7K2L7	GH27120p	28.14	4	11	4	301649.5119	11	
Q7K2N0	Endoplasmic reticulum junction formation protein lunapark	7.49	3	3	3	13493.9759	3	
Q7K2P1	Cuticular protein 50Cb	11.24	2	3	2	8838.2388	2	
Q7K2P3	GH20817p	58.7	13	31	1	280555.93471	23	
Q7K2Q8	Trafficking protein particle complex subunit 5	35.57	7	8	7	53375.221699999995	6	
Q7K2W6	tyrosinase	22.32	13	21	13	31505.58897	13	
Q7K332	GH17623p	23.43	6	10	5	141926.7331	7	
Q7K3D4	peptidylprolyl isomerase	34.76	12	14	12	149516.8176	12	
Q7K3E2	LD34147p	59.21	30	59	30	642196.1414	53	
Q7K3H0	LD28067p	1.44	3	3	0	20107.7852	3	
Q7K3J0	T-complex protein 1 subunit theta	41.21	21	39	21	726096.454	35	
Q7K3N4	GH26015p	14.95	6	7	6	70000.17842	7	
Q7K3V6	Elongation factor Tu, mitochondrial	10.31	5	7	5	52535.9773	6	
Q7K3W2	Mitochondrial-processing peptidase subunit alpha	18.35	9	12	9	106612.6317	11	
Q7K3W4	GH08941p	25.85	8	20	8	337272.96904	17	
Q7K3Z3	GH01724p	51.6	16	44	16	388464.39051	33	
Q7K485	Cathepsin D	35.71	9	36	9	700801.31625	29	
Q7K4C7	choline-phosphate cytidylyltransferase	4.18	2	4	0	31823.2507	4	
Q7K4J7	LD36653p	7.38	2	2	2	4559.419980000001	2	
Q7K4Q9	Hydroxymethylglutaryl-CoA synthase	1.94	1	1	1	826.9123	1	
Q7K4T8	LD23856p	6.55	3	4	3	9459.998	2	
Q7K4Y0	Desaturase 1, isoform A	5.48	2	2	1	13707.4023	2	
Q7K511	D-2-hydroxyglutarate dehydrogenase, mitochondrial	17.45	7	10	7	46476.746100000004	9	
Q7K519	GH16429p	17.66	5	8	5	28681.782	6	
Q7K533	GH14572p	6.14	2	2	2	18679.81	1	
Q7K549	GH13040p	18.08	8	8	8	34431.9469	8	
Q7K561	GH11294p	6.82	2	2	2	456.54526	1	
Q7K568	GH10642p	8.33	3	3	3	19850.476	3	
Q7K569	Glycerol-3-phosphate dehydrogenase	35.36	26	53	26	924395.26335	46	
Q7K5J8	Cuticular protein 57A, isoform A	45.11	7	14	7	153602.2245	11	
Q7K5M6	GH04176p	20.95	6	11	6	70768.0279	10	
Q7K7G0	Coatomer subunit delta	28.44	13	24	0	236121.04135	22	
Q7K860	FI07231p	39.22	7	12	7	696095.639	11	
Q7K8X7	Glutathione S transferase E9	33.03	7	15	7	177628.19374000002	12	
Q7K9H6	Zinc finger FYVE domain-containing protein	4.77	4	5	4	535.7115	1	
Q7KJ08	receptor protein-tyrosine kinase	2.12	3	4	3	24497.41615	4	
Q7KK90	GH14654p	55.8	9	28	9	778138.8677	23	
Q7KKI0	T-complex protein 1 subunit epsilon	26.94	14	19	0	215137.2079	17	
Q7KLE5	Amphiphysin	49.67	26	71	3	1098890.58589	60	
Q7KLW9	Pre-mRNA-processing factor 19	16.04	7	10	7	53818.934279999994	10	
Q7KLX3	Translocon-associated protein subunit delta	24.7	4	23	4	290661.95374	11	
Q7KM15	Transcription factor BTF3	32.54	4	7	4	105686.0205	7	
Q7KMM4	Glucosidase II subunit alpha	3.9	4	4	4	20214.8814	3	
